geoid,X,Y,HIV_Case,HIV_Rate,M_housing_costs,%_with_4year_college_degree,%_unemployed,%_manufacturing,%_below_poverty,%_houses_30_old,%_households_moved_<10_years_ago,%_>_60_years_old,%_service_industry,%_vacant_housing,%_owner_housing,%_multiunit_structures,%_<_18_years_old,%_black,%_white,%_Hispanic,%_Asian,%_foreign_born,%_health_insurance,%_no_health_insurance,HIV_Case_log
10001,-73.9971,40.7507,4698,928,1817,37.86488741,3.51407959,2.138100245,13.26349351,60.68877731,56.76887872,21.04781016,10.45916579,12.09249699,26.16844984,90.29844743,8.650322806,6.163845751,62.91223172,14.15983249,25.18757634,32.34165067,94.26925762,5.7307423779999995,8.454892165218858
10002,-73.9862,40.7158,1230,885,980,21.85260311,4.91975093,3.74649433,27.65748561,88.29918262,34.45482611,28.25330364,25.20424338,6.113537117999999,13.3273703,78.60465116,13.28790687,8.378115291,32.22700785,27.18920433,41.45586921,41.8385716,91.50038018,8.499619819,7.114769448366463
10003,-73.9892,40.7318,1477,787,2190,42.43906266,4.026729365,2.383477881,8.453640255,90.23837285,53.66199083,16.92147325,8.048917452000001,15.39059464,32.93905987,93.91747053,7.090084488,5.811784499,75.91346329999999,8.240371603,13.48341319,19.87125562,94.86202203,5.137977973,7.29776828253138
10004,-74.013,40.7038,1271,35,3236,47.50687083,3.201970443,2.3728813559999997,2.1796565390000002,68.16269285,65.21164021,13.70541612,2.4213075059999998,22.44039271,38.27606992,94.57504521,11.39365918,1.6842800530000002,62.81373844,3.698811096,30.44914135,27.44385733,95.11494253,4.8850574710000005,7.147559271189454
10005,-74.0089,40.7061,946,64,3238,48.45126025,2.8770362589999996,1.7171868000000001,9.511946552000001,74.00179051,89.93646472,1.6645906469999998,2.6877706439999995,21.68307968,19.63877458,95.17604024,12.53538671,2.5025478430000003,73.42316838,6.884837504,16.95164761,22.31910316,97.39884393,2.601156069,6.852242569051878
10006,-74.013,40.7097,1287,37,3192,50.57301294,0.535296086,0.738150738,4.748118123999999,73.83696116,78.11233353,3.6479444119999997,4.662004662,23.43149808,17.05685619,92.30769231,12.99942096,1.0422698320000001,69.80312681,11.98610307,19.88998263,32.13665316,97.59116761,2.408832385,7.160069207596127
10007,-74.0075,40.7139,1658,98,3554,42.62633853,2.279329609,1.4686598480000002,2.3451399,41.38443256,57.8460039,9.853339028999999,3.8290060319999997,18.86512181,35.44489198,96.88758696,20.10536808,4.727324505,77.18923537,8.258578955,11.76135555,23.46575538,99.35195531,0.648044693,7.4133673356952405
10009,-73.9787,40.7264,1665,935,1639,37.64643473,2.9927833589999997,3.166126264,23.42697212,87.36458633,46.90132738,21.06862322,13.67219785,5.001118461,6.33073197,84.76856835,11.13163574,9.375917134,61.83340527,24.76823479,12.96849374,22.55848079,92.54516296,7.454837036,7.417580402414544
10010,-73.9826,40.7391,1532,457,2535,36.98819442,3.307472438,2.240365457,12.71720942,77.85810629,63.84681243,17.26652831,7.838849201,11.572700300000001,28.37705918,91.21415497,11.59205455,5.289060183999999,73.18114438,10.97835755,17.37029351,20.42691966,95.73295223,4.267047775,7.3343293503005365
10011,-74.0001,40.7417,4347,2064,2072,41.05265639,3.198517564,2.5528943930000003,11.08236483,84.13089269,48.49759125,23.20890791,6.195549889,13.58471534,37.58239495,90.46278495,9.278411793,5.585275004,79.90767158,11.30131558,9.167459185,23.75376446,95.35395853,4.646041465,8.377241230988792
10012,-73.9981,40.7256,1230,276,2243,44.5065379,2.864900809,2.444535744,11.64651414,90.45687447,57.62064891,18.92272863,6.368118324,14.31113009,18.03006395,91.88605598,8.449019692,2.780744095,74.37102217,6.38161548,17.32091752,26.65840844,93.83796963,6.162030367000001,7.114769448366463
10013,-74.0048,40.7201,1547,378,1998,36.31115870000001,2.898550725,3.3624397239999997,11.517408300000001,77.50282805,49.86558136,21.57163259,10.59559494,15.25735294,26.18054397,86.283998,16.76826082,4.3888676019999995,55.59580619,6.019018426000001,33.29269567,33.96844195,93.87425246,6.125747535,7.344072850573066
10014,-74.0063,40.734,2612,779,2242,45.10945068,4.48542024,1.8782574490000001,6.350251967999999,90.94329107,52.3707465,21.11393064,5.11358049,15.33602712,32.43732514,92.39124472,8.894527946,1.093109506,88.8606936,6.659509402,5.745331511,16.35109636,95.46740995,4.532590051000001,7.867871490396322
