geoid,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_%_no_health_insurance,beta_%_below_poverty,beta_%_vacant_housing,beta_%_white,se_Intercept,se_%_no_health_insurance,se_%_below_poverty,se_%_vacant_housing,se_%_white,t_Intercept,t_%_no_health_insurance,t_%_below_poverty,t_%_vacant_housing,t_%_white,p_Intercept,p_%_no_health_insurance,p_%_below_poverty,p_%_vacant_housing,p_%_white,sumW_Intercept,sumW_%_no_health_insurance,sumW_%_below_poverty,sumW_%_vacant_housing,sumW_%_white
10001,-73.9971,40.7507,1.733878792,1.846618979,0.673888528,1.059990264,0.381346334,0.776027604,-0.104440339,0.294972027,0.047765385,-0.171397975,0.122044906,0.055497397,0.123184225,0.063713222,0.1490804,6.358541548,-1.88189617,2.394560072,0.749693449,-1.149701604,1.70E-09,0.061500842,0.017690605,0.454440283,0.251826671,20.69943017,111.2921595,20.69943017,83.70125602,20.69943017
10002,-73.9862,40.7158,0.204352345,-0.581093857,0.868142747,-0.663790402,0.308468592,0.55711404,-0.104842537,0.173472979,0.044522382,-0.181136611,0.119566686,0.05546861,0.12323359,0.061706342,0.147979565,4.659442026,-1.890123752,1.407676092,0.72152036,-1.224065035,6.23E-06,0.060385122,0.160990743,0.471546841,0.222563755,18.68419638,111.2227602,18.68419638,84.86477904,18.68419638
10003,-73.9892,40.7318,0.413214976,0.816958514,0.483245438,-0.070030461,0.346947972,0.689843521,-0.105047907,0.221849184,0.0464869,-0.145232178,0.122905626,0.055443652,0.12484459,0.063244334,0.149572932,5.61279041,-1.894678714,1.777002792,0.735036593,-0.970979014,7.62E-08,0.059774747,0.077295022,0.463295501,0.332891248,20.07413314,113.0767444,20.07413314,83.19781869,20.07413314
10004,-74.013,40.7038,0.241776456,0.437434634,0.230311516,0.01146494,0.310457376,0.480592974,-0.09939287,0.205370883,0.041218362,-0.208018816,0.117126376,0.055805882,0.126466155,0.060552236,0.14706909,4.103200223,-1.781046464,1.623919726,0.680707514,-1.414429205,6.22E-05,0.076629626,0.106182571,0.496951126,0.159002556,18.95251913,100.464541,18.95251913,81.93746963,18.95251913
10005,-74.0089,40.7061,-0.095278278,-0.231954824,0.362705448,-0.457983726,0.312035428,0.499745025,-0.100445621,0.210017261,0.041638048,-0.200322428,0.117643119,0.055726223,0.126933383,0.060755867,0.147382344,4.247974955,-1.802483941,1.654547101,0.685333774,-1.359202346,3.49E-05,0.073180276,0.099798655,0.49403498,0.175821549,19.54611507,102.8514703,19.54611507,82.49668454,19.54611507
10006,-74.013,40.7097,0.256054461,0.246029102,0.327766856,-0.071712395,0.294046071,0.525465521,-0.099942199,0.22365795,0.042121035,-0.183117727,0.119352668,0.055742892,0.129046773,0.061018492,0.148731829,4.402629016,-1.792913778,1.733154151,0.690299507,-1.231193942,1.85E-05,0.074703981,0.084819742,0.490915152,0.219893016,19.16559261,102.2971772,19.16559261,82.23582819,19.16559261
10007,-74.0075,40.7139,0.545152005,0.948768881,0.267357464,0.27779454,0.282570139,0.555852098,-0.100862762,0.224653846,0.042872737,-0.169285584,0.120654951,0.055709412,0.129201664,0.061511959,0.149330532,4.606956398,-1.810515659,1.738784466,0.696982149,-1.133630085,7.82E-06,0.071921388,0.083821313,0.486733547,0.258491551,19.7515443,103.2824626,19.7515443,82.3539816,19.7515443
10009,-73.9787,40.7264,0.549960517,0.487588808,0.681637893,-0.131677375,0.361288178,0.636772178,-0.106695337,0.185955018,0.047068666,-0.183073211,0.12041873,0.055327316,0.121940957,0.062572705,0.14837009,5.287982833,-1.928438694,1.524959483,0.752223606,-1.233895664,3.63E-07,0.055409859,0.129064133,0.452921436,0.218886942,18.06839687,117.8057736,18.06839687,85.93493881,18.06839687
10010,-73.9826,40.7391,0.454943334,0.721186266,0.577113946,-0.122170612,0.392045724,0.73343849,-0.106498819,0.255931823,0.048204409,-0.181860931,0.122672969,0.0553456,0.12526679,0.063319048,0.149097486,5.978810967,-1.924250863,2.043093968,0.76129396,-1.21974512,1.22E-08,0.055936323,0.042534168,0.447500348,0.224193499,19.60374892,117.893728,19.60374892,85.84549693,19.60374892
10011,-74.0001,40.7417,1.645253209,2.026685432,0.54316657,1.102086639,0.350540131,0.73902668,-0.103384565,0.264349696,0.046723608,-0.14241011,0.12307911,0.055563742,0.124665893,0.063367635,0.149656203,6.004485068,-1.860648002,2.120465272,0.737341831,-0.951581742,1.07E-08,0.064462102,0.03536783,0.461896352,0.34261411,20.61677176,108.2965773,20.61677176,83.3826797,20.61677176
10012,-73.9981,40.7256,0.204352345,0.496838582,0.488148615,-0.28379627,0.31129307,0.640080052,-0.102832706,0.222889411,0.045001851,-0.141765046,0.122294511,0.05560731,0.126624031,0.062610398,0.149825629,5.233923001,-1.849265965,1.760245749,0.718760031,-0.94620024,4.69E-07,0.066096583,0.08010322,0.47324195,0.345343709,20.72025626,106.4327835,20.72025626,82.94393378,20.72025626
10013,-74.0048,40.7201,0.466063914,0.42253345,0.546170756,-0.080106842,0.286418631,0.599459121,-0.10137861,0.227303921,0.043867744,-0.155246202,0.120933367,0.05569406,0.127566504,0.062067322,0.149332529,4.956937308,-1.820276889,1.781846434,0.706776812,-1.039600701,1.67E-06,0.070415555,0.076498549,0.480639862,0.299951514,20.7376674,103.6063866,20.7376674,82.52486171,20.7376674
10014,-74.0063,40.734,1.063892651,1.769874928,0.353741361,0.71015129,0.320547093,0.687524244,-0.101523783,0.251141017,0.045430502,-0.13354327,0.12304552,0.055694559,0.126936353,0.063082939,0.150209173,5.587560166,-1.822867174,1.978479845,0.720170976,-0.889048699,8.62E-08,0.07002037,0.049434854,0.472375071,0.375190418,20.44593383,103.2738349,20.44593383,81.78799302,20.44593383
10016,-73.9783,40.7452,0.488708706,0.655644785,0.526184717,-0.037476012,0.432800828,0.775287494,-0.107348064,0.302845506,0.04944093,-0.213234608,0.124506811,0.055294304,0.131953699,0.063484301,0.150419857,6.22686815,-1.941394623,2.29508918,0.778789851,-1.417596137,3.39E-09,0.053807436,0.022908084,0.437149344,0.158076657,17.89226115,120.8203463,17.89226115,86.9784928,17.89226115
10017,-73.973,40.7526,-0.122134414,-0.017189228,0.273178579,-0.395312993,0.488074295,0.752071204,-0.108254229,0.377148587,0.0508955,-0.291251416,0.122415095,0.055245072,0.133455845,0.063676893,0.150964935,6.143614924,-1.959527351,2.826017754,0.799277382,-1.929265341,5.23E-09,0.05163039,0.005258265,0.425206946,0.055306433,18.44557402,123.9249698,18.44557402,87.81735124,18.44557402
